时间 (s),薄膜厚度 (m),温度 (K)
4.8000000000000025,0.0,353.24679782901813
4.820000000000002,0.0,353.5031344435255
4.8400000000000025,0.0,353.75558748820714
4.860000000000002,0.0,354.01367323512227
4.880000000000003,0.0,354.2668729657716
4.900000000000002,0.0,354.5248791100047
4.920000000000003,0.0,354.77777046856556
4.940000000000002,0.0,355.0345637650037
4.960000000000003,0.0,355.28808264068357
4.980000000000002,0.0,355.54013159928746
5.000000000000003,0.0,355.7913944924074
5.020000000000002,0.0,356.0397444586702
5.040000000000003,0.0,356.2838749140098
5.060000000000002,0.0,356.52512872886683
5.080000000000003,0.0,356.7603936543056
5.100000000000002,0.0,356.9918876005452
5.120000000000003,0.0,357.21614474954913
5.140000000000002,0.0,357.4357907608817
5.160000000000003,0.0,357.6473779142364
5.180000000000002,0.0,357.853736819545
5.200000000000003,0.0,358.0515772608942
5.220000000000002,0.0,358.24381125228064
5.240000000000003,0.0,358.4273568533595
5.2600000000000025,0.0,358.6051234597819
5.280000000000003,0.0,358.77425001698003
5.3000000000000025,0.0,358.93758531210693
5.320000000000003,0.0,359.09248508740393
5.3400000000000025,0.0,359.24169846575273
5.360000000000003,0.0,359.3827869465145
5.380000000000003,0.0,359.5183749601182
5.400000000000003,0.0,359.6462162564387
5.420000000000003,0.0,359.7687958490792
5.440000000000003,0.0,359.8840457967381
5.460000000000003,0.0,359.99430442016535
5.480000000000003,0.0,360.0976685910152
5.500000000000003,0.0,360.1963279461383
5.520000000000003,0.0,360.28853146463877
5.540000000000003,0.0,360.3763217783536
5.560000000000003,0.0,360.45808815873596
5.580000000000003,0.0,360.53573039113087
5.600000000000003,0.0,360.6077671082095
5.620000000000003,0.0,360.6759610191513
5.640000000000003,0.0,360.7389500221755
5.660000000000003,0.0,360.7983665058096
5.680000000000003,0.0,360.85295831216183
5.700000000000003,0.0,360.9042348017387
5.720000000000003,0.0,360.9510451510091
5.740000000000003,0.0,360.99478320536895
5.760000000000003,0.0,361.0343915206329
5.780000000000003,0.0,361.0711559393697
5.8000000000000025,0.0,361.1041050441922
5.820000000000003,0.0,361.13442403542786
5.840000000000003,0.0,361.1612207257626
5.860000000000003,0.0,361.1855867817328
5.880000000000003,0.0,361.2067029632939
5.900000000000003,0.0,361.22557419564026
5.9200000000000035,0.0,361.24144837923626
5.940000000000003,0.0,361.25525013675843
5.960000000000003,0.0,361.26628914393524
5.980000000000003,0.0,361.2754157872209
6.0000000000000036,0.0,361.2819965621745
4.8000000000000025,1.8750000000000002e-05,353.39877577535106
4.820000000000002,1.8750000000000002e-05,353.6516242428723
4.8400000000000025,1.8750000000000002e-05,353.9088712451003
4.860000000000002,1.8750000000000002e-05,354.1635926469564
4.880000000000003,1.8750000000000002e-05,354.4212540543619
4.900000000000002,1.8750000000000002e-05,354.6761511105586
4.920000000000003,1.8750000000000002e-05,354.9331554592996
4.940000000000002,1.8750000000000002e-05,355.1870910394285
4.960000000000003,1.8750000000000002e-05,355.4434581020295
4.980000000000002,1.8750000000000002e-05,355.69444062094044
5.000000000000003,1.8750000000000002e-05,355.94691637070605
5.020000000000002,1.8750000000000002e-05,356.1945498754047
5.040000000000003,1.8750000000000002e-05,356.4401328595219
5.060000000000002,1.8750000000000002e-05,356.6803814555413
5.080000000000003,1.8750000000000002e-05,356.9170694095761
